1	0.001374705	0.000198993
2	0.000088378	0.000017106
4	0.000027938	0.000021097
8	0.000018815	0.000022237
16	0.000068992	0.000097501
32	0.000175615	0.000212678
64	0.000349521	0.000328994
128	0.00037689	0.000534259
256	0.000679655	0.001406636
512	0.000572462	0.002829235
1024	0.000939087	0.002804717
2048	0.002760814	0.002133615
4096	0.003580163	0.003110904
8192	0.00401635	0.004527232
16384	0.019508722	0.006740101
32768	0.01697256	0.010717681
65536	0.022002691	0.015667416
131072	0.094637966	0.07134952
262144	0.110033977	0.144948971
524288	0.238686624	0.720662367
1048576	0.402816463	0.967808187
2097152	0.864331855	2.243368945
4194304	2.243770923	3.656509663
8388608	6.707039048	9.416233378
