1	0.000038202	0.000071273
2	0.000018245	0.000015964
4	0.000006843	0.000018816
8	0.000011403	0.000027369
16	0.000042764	0.000072983
32	0.000115746	0.000123159
64	0.000146536	0.000205264
128	0.00022123	0.000565619
256	0.001366153	0.001032027
512	0.000381451	0.00230752
1024	0.000641453	0.002384494
2048	0.001172861	0.001735628
4096	0.002326336	0.002474013
8192	0.004372143	0.007501864
16384	0.003773454	0.001759577
32768	0.00493035	0.005677287
65536	0.02604983	0.011545583
131072	0.04223212	0.038730642
262144	0.064227968	0.0446953
524288	0.095421394	0.068546513
1048576	0.142290221	0.122230134
2097152	0.295966943	0.253983993
4194304	0.638561526	0.572367577
8388608	1.250286943	1.142133992
